GENOME,PROFIT,NUMERO DI TRADE,WIN RATIO
000001100000-000100011010-010001001000-010110101101-010111110000-100101111000-101110110110-110100111000-111001000101-111001010100-11000001,9.29,77,81.82
001000101101-001100001010-001100010000-001111001001-001111011011-011110011011-100001001110-100011000001-111010000010-111011000001-11101110,-8.3,17,64.71
000010000011-000010011011-001001101111-011001111110-011010001000-100000001000-100101110100-110101011011-110111110011-111101101100-10100001,16.54,64,84.38
000000111110-001011011101-001110000110-010000111000-011101100010-100010010101-100101001111-110110001010-111010111101-111011111000-01001110,-2.76,14,50.0
000100110000-001010111011-001011110010-010000000011-010011101100-010111100011-010111101110-011000010000-011101101010-011111111111-01111000,53.12,54,50.0
000101000111-010110101010-011000010010-101000100001-101001101000-101101010001-101101101111-111011000010-111100010001-111111100111-10101100,10.98,12,72.73
000110011000-010110010000-011001000011-100101101010-100110110100-101110110011-101111110110-110001110010-111001010001-111011011111-10011010,-27.43,50,32.0
000001101101-000110000010-001001011001-010001101100-011010110110-011101101000-100010000110-100100000101-100110110111-110110100010-00101010,-2.1,16,37.5
000001001010-001001001101-001001101000-010000101010-100110010001-101000011011-101011110011-110110100101-111111010111-111111101101-00010000,-10.36,55,27.27
000001001101-001010010011-010000111101-010010001100-011010011111-100000000110-110010001100-110101010001-110101111011-111101100111-00100100,-9.51,10,30.0
000100111000-001001000011-001101000100-010100000001-011111110011-100100110110-110001011101-110100101101-110101011111-111100100001-10111001,-47.95,49,30.61
000001010000-000100000111-000110100010-001010001101-001101111111-010010001101-011110100111-100100100011-101101111000-111111100101-10111000,-12.22,61,49.18
001111000110-010000010001-010001111011-010001111101-010011000001-010111001110-101101101000-110011011001-111000000010-111010110001-10001110,14.7,4,75.0
000010000001-000010111101-000100011010-001000010110-001010000101-010101110110-101010001010-110010101000-110011000101-110011111011-10011100,35.63,44,50.0
000101100110-001100100010-011001111001-011100000011-100010010101-101001100100-101100010100-110110010110-111101010100-111111110110-00110011,-6.88,10,20.0
000011001000-000100101010-001100010110-001111111001-100001100100-100100010100-100101000100-101100011111-101100111000-101111100111-10100001,14.43,74,81.08
000111101100-001011010011-001011101101-011111011100-100110100001-100110100011-101000111010-101100001110-110000001010-110110010011-01001111,-11.46,24,37.5
000011101000-000011110000-000111001010-001100011101-010001111111-011101011001-101111100010-111011001101-111011011000-111110110000-01010110,23.84,62,38.71
000010011101-000011001010-001000001111-001000100011-011001010101-100001110110-100101110010-101111001010-110011111001-110111110110-10110010,-13.91,12,41.67
001111110100-001111111000-011011010110-100110001011-100110101101-101001101000-101010100111-110111101000-111010010010-111110100100-10001001,-14.66,10,22.22
000100000100-001110100101-011111001010-011111010000-100101100000-100110011110-101000011010-101001111101-101010111100-101011101000-10010010,2.21,6,50.0
000001011011-000100001000-001000110101-001001001100-001101010110-100001101110-100011111011-101010100011-110110001011-111111100110-11001000,-5.05,65,66.15
000101001110-001100101110-011101011001-100100010111-100110111001-101111010000-110010011010-110100011001-110101010011-111001100011-00011110,-7.74,8,12.5
000110101101-010011010101-010110111011-011101001011-011101011011-100001111000-100111111100-101100100000-110000000111-110101110010-11000011,6.45,9,88.89
000000100000-001000000101-010001110111-010101100111-010110110110-011000001000-011001001011-011110110101-101000001000-101110000110-01011111,-13.53,75,29.33
000001010010-010000111011-100001010101-100100101000-100100111110-100101111111-100111001011-110111110000-111000000101-111001101011-10110111,-1.26,32,46.88
000110001110-001001110101-001101110011-010000111000-010011100100-010101011001-011000000111-100101010001-101011100011-110010001100-11011011,-1.18,6,50.0
000100101010-001011000001-001100000101-010011000010-011000011110-011010101100-011100101100-101011010111-101110011000-110111000110-11010110,-4.05,18,55.56
001011001010-001101110010-001110000110-001111110100-010101000111-011110011000-100010011000-100101110000-101010001010-110011001001-11000110,-6.16,74,72.97
000011111011-001100111000-001111110011-010111001001-011111111100-100000110001-100001110111-110100111110-110111000010-111101011000-00010111,-6.6,10,20.0
000110001001-001100010110-010011111000-010100011000-011010100000-011101111000-100001011101-100010010101-110100000001-111011100010-01000011,-22.45,41,56.1
000011000000-000111100000-001101110100-010010110010-010011001111-011000100101-110001010100-110011110110-110101011101-111001000000-11001011,-2.67,54,68.52
000000100001-000101110001-001100101101-001101110100-011000100110-011100110110-100001111110-100101100000-110101110100-111011100001-10111010,-26.59,20,35.0
001001001010-011001010010-011111010001-100101001010-101100011101-101110000001-101111010001-110001000011-110001110010-110010001110-00101110,1.62,19,36.84
000000010001-000100001000-001001011110-001001110011-001110111010-011010111111-101010110010-110000010111-111001100010-111010010101-11110010,-90.92,60,41.67
000001110110-000010100110-000100001001-000100111110-001011100111-010100011001-101010111010-110011101110-110110101110-111100000101-10100010,-2.59,45,84.44
000101111111-000111110101-001001010001-001010011011-011001110010-011010011101-110101100111-110110100011-111100000101-111100110110-11111110,28.21,17,64.71
001011000011-001011100010-010100101100-010110001001-100001100001-110010000101-110100111001-111011101111-111101100111-111110110100-11110001,2.79,10,60.0
000001101000-000101011011-000110101100-010101010100-010110010011-100110111111-101101001100-110110111010-111000010011-111101001010-10110111,-17.79,50,50.0
000100111100-000101010001-001000100100-010011110001-010111110011-101001110001-110000011011-110001001011-110100101101-111100010010-00101100,-5.28,4,25.0
001001010101-001111011110-010100111110-010101100110-011101000111-011101111010-100100000000-110100010011-110100110000-111111001100-10001110,10.34,38,60.53
000110110011-001000001101-010000000101-010001011111-010110101100-011001110111-011101001100-100100110111-100111011000-101101111100-10001101,1.91,9,55.56
000101000100-000111111001-001000011000-001011000110-010010100100-010100111011-100111001010-101101000001-101110001110-111101011011-11011111,21.64,18,61.11
000000111100-000101011111-001100000011-010010110110-011000010011-011001101101-011101001011-101001000011-111001100010-111111000111-10100110,2.77,1,100.0
000110101101-001100011001-001101001101-010001010000-010111100011-011110000001-011110011101-110111110100-111010110110-111101100011-01001000,-5.08,9,44.44
000010101011-010001101010-010011101001-010100111010-010101011100-010110001110-100010001011-100110100000-101111101100-110011110010-10001111,-59.22,36,27.78
000011010100-001011001110-001100010111-011001000101-011101101000-011111110000-101000010010-110011101010-110111001111-111010110011-00100111,5.53,13,53.85
000010011100-000101111100-001011111111-011110101001-100010110001-100110110011-110001100011-110011100011-110101101001-110111111110-00111101,12.96,15,40.0
000001011100-000101010101-000110110011-001001010101-001001101101-001110101001-100110000000-100111110100-111110101101-111111111100-11111110,30.23,34,55.88
000100001000-001010001110-010000101011-010101101010-010110101101-011011111111-011110011100-100100010011-101100000101-111100101000-01100001,-9.48,70,71.43
000010000100-000110011011-000110111100-001100001000-010011011110-100000001110-100010110000-100101111010-110000000001-111101101011-11111111,2.43,37,51.35
000000110111-000111001111-010001011011-011101100111-100111100011-100111111111-101011011111-101101001110-101110101010-111011110010-10001100,3.93,9,66.67
000001110000-001011110001-010000010000-010010101011-010100110111-010110000000-100000101001-101110011100-110010110110-111110100100-11001011,-29.77,76,60.53
000010010101-001000111101-001101111000-001110101100-001110101110-010010011111-100101001010-101110010110-110101100010-110110100000-00011011,4.11,10,20.0
000101000010-000111001111-001011101000-011110110101-100010000111-100101001101-101010000010-101111101100-110011110010-111110110101-10100001,-0.21,17,82.35
000101011101-010000110000-011000110101-011011011100-011110011010-011111001111-011111111010-100001110000-110110011010-111100011000-00101110,-15.73,10,30.0
000111000100-001000000001-010111110110-011001101010-100011010100-100101000110-101011111010-110100101110-111001100001-111010100101-11010011,-16.26,19,47.37
000000111110-001010110010-001101000100-001111010011-010110001110-010110101010-011000100100-011001010010-100111010100-101110110011-11111100,8.43,6,66.67
000000011111-000010110010-000011110111-001010111001-001101010000-011000010001-100000110010-100010110000-111000110010-111110111100-10111000,5.41,24,45.83
000000100011-000111101111-001001100110-001111100011-010000000101-011101101000-101011110100-101110100101-101111001010-111111010011-00001001,4.57,3,66.67
000101111010-001111011111-010010011110-010111010101-011001111110-011100100110-100110100100-101000110000-110001001100-110100011000-01001001,4.96,16,62.5
001000100111-001011101100-010101000110-011011111100-101001111100-111000000001-111100101011-111101001111-111101100100-111111010010-11011101,1.71,5,60.0
000011001000-000110000010-001101100010-010110101110-011001000000-011100011110-101101101011-101111000011-110011101100-111000100110-11001110,4.13,58,60.34
001001001011-001010110000-010101000010-011011110000-100000001111-110001110010-111011101110-111100000010-111100000111-111110101011-00110101,6.06,20,30.0
000000111100-001011001100-010000010011-010000110101-010110010011-011100001011-011100100110-100010000011-101000100110-110101010110-10101010,-12.56,10,40.0
000000011110-001001011110-001010000000-010011101101-011110001000-100011001011-100100111111-101001010100-101010110011-111010000011-01001111,-26.6,34,35.29
001000001010-001000111011-001101010111-010110100100-010111010111-011101100001-100101100110-100111100111-110110011000-110111001000-00111001,5.41,10,30.0
000010000101-000011001101-000011110100-001101011101-001111011001-010001110011-010100011001-100111110101-101100101000-111111000010-00000010,7.29,11,54.55
000000000001-000001011011-100001111101-100011101011-100100001100-101011001110-101100111000-110001001000-110100110001-111001010000-11110110,-38.37,30,46.67
000010111101-000011100000-000100001100-010010000100-010010010001-011000010010-100011101001-101001111101-110001100111-110011000110-00111011,1.7,16,31.25
000011011111-000101111110-001100001001-010011000100-011111001100-011111100011-100101101111-101001100111-101101100110-110010000100-11011110,20.52,13,53.85
001001011001-001001101101-001010000101-010000101011-010011001001-011110111111-101101010011-110001100111-110111000110-111010111000-00111110,-9.51,24,25.0
000111110100-010000000000-010100011110-011010100001-100000001100-100111110111-101010110111-101100011110-110001101110-110011011010-01100111,7.07,20,70.0
000111010011-000111110001-001010110010-010001110101-011101001010-100001001011-101000110001-110001011010-111011011101-111111001001-11100111,6.5,11,90.91
000000010001-000110111010-001101100001-001110011110-010000011101-010111100011-011001001110-100011110010-110111011010-111000011010-11000001,-11.55,28,82.14
001001110110-001100100010-010110011000-011000000111-011011110000-011100000110-011111010101-100101011110-100110110000-110100100010-10000010,11.24,11,90.91
000111011010-010010010010-100010010110-100010110001-100100000000-100101000011-101000000001-111000000110-111001100011-111111000011-10101111,5.68,67,58.21
000110000110-000110010001-000110011100-000110011110-011001011011-011110101010-101010111101-101101000110-110001011111-110110000101-01011100,20.06,32,34.38
